,hostel_name,city,distance_center_km,average_rating,number_reviews,price_usd
0,Selina Bariloche,Bariloche,0.9,8.3,94,15.00
1,Moving Hostel Travel Bar,Bariloche,0.6,7.7,358,2.68
2,La Casona Hostel,Bariloche,7.1,8.5,153,2.89
3,Hospedaje Penthouse 1004,Bariloche,0.2,9.8,1840,1.82
4,Tangoinn Hostel Downtown,Bariloche,0.7,9.0,791,31.57
5,Berkana Hostel y Bar De Playa,Bariloche,0.6,8.4,108,33.49
6,Hostel Like Quijote,Bariloche,0.9,8.9,309,0.38
7,Hostel Los Troncos,Bariloche,0.6,9.4,160,2.77
8,Hopa Home Hostel Patagonia,Bariloche,1.1,9.7,202,2.19
9,Hostel Nix,Bariloche,1.4,8.2,16,12.46
10,Hostel Achalay,Bariloche,0.5,9.1,1028,1.91
11,Green House Hostel,Bariloche,3 fr,9.8,270,1.68
12,Hostel Inn Bariloche,Bariloche,0.5,8.3,962,1.63
13,Patagonia Jazz Hostel 2,Bariloche,0.6,7.0,7,38.48
14,Km Alaska Hostel,Bariloche,6.9,8.6,1,27.75
15,Marcopolo Inn,Bariloche,0.6,2.0,852,1.42
16,Periko's Youth Hostel,Bariloche,0.5,9.9,843,1.91
17,Bonita Lake House,Bariloche,7.2,6.6,34,30.68
18,Hostel y Camping Los Coihues,Bariloche,8.9,0.0,0,34.44
19,Tangoinn Club Hotel,Bariloche,0.5,0.0,54,45.62
20,Patagonia Jazz Hostel,Bariloche,0.3,8.3,45,25.83
21,Pipperland Hostel Brc,Bariloche,1.4,0.0,0,35.49
22,KM Sun Hostel Bariloche,Bariloche,3.8,9.7,1,22.01
23,Selva India Hotel Suite,Bariloche,0.9,0.0,0,18.94
24,La Justina Hostel,Bariloche,0.7,9.7,384,9.11
25,Aire de Barreal Hostel Andino,Barreal,4.5,0.0,0,13.00
26,Viajero Buenos Aires Hostel,Buenos-Aires,3.8,8.9,190,12.73
27,Milhouse Hostel Avenue,Buenos-Aires,3 fr,9.0,3003,2.20
28,Che Juan BA,Buenos-Aires,4.1,9.7,184,8.84
29,America del Sur Hostel Buenos Aires,Buenos-Aires,3.7,8.7,5795,2.10
30,Reina Madre Hostel,Buenos-Aires,1.9,9.4,416,2.20
31,Selina Palermo,Buenos-Aires,3.2,7.8,391,16.00
32,Play Hostel Arcos,Buenos-Aires,3.5,8.0,2083,2.10
33,Malevo Muraña Hostel,Buenos-Aires,3 fr,9.3,346,11.00
34,Parla Hostel,Buenos-Aires,3.5,9.9,15,13.00
35,Draper Startup House for Entrepreneurs,Buenos-Aires,3.8,7.8,101,13.20
36,Sabatico Travelers Hostel & Guesthouse,Buenos-Aires,2.8,9.4,1185,2.29
37,Voyage Recoleta Hostel,Buenos-Aires,2.9,7.9,922,1.82
38,Circus Hostel,Buenos-Aires,3.8,7.7,750,16.15
39,Hostel Estoril,Buenos-Aires,2.8,10.0,2792,1.91
40,Play Hostel Soho,Buenos-Aires,2.9,4.6,312,15.25
41,ilVero Hostel Recoleta,Buenos-Aires,2.4,9.2,24,12.00
42,BA Stop,Buenos-Aires,3.1,6.7,665,1.94
43,Master Hostel Borges,Buenos-Aires,3.1,8.2,33,14.00
44,Suipacha Suites,Buenos-Aires,3.9,10.0,4,8.75
45,Infinito Hotel Eco Design,Buenos-Aires,3 fr,0.0,32,6.46
46,Chill House,Buenos-Aires,1.3,9.1,646,2.39
47,Telmotango Hostel Suite,Buenos-Aires,3.7,6.5,821,1.82
48,Hostel Colonial,Buenos-Aires,4.1,3.4,162,1.77
49,Art Factory Soho,Buenos-Aires,3.3,7.6,77,2.36
50,Hotel Frossard,Buenos-Aires,3.8,7.6,26,16.67
51,Hotel La Barca,Buenos-Aires,1.4,7.4,9,14.99
52,Hostel La Bamba,Buenos-Aires,2.6,3.7,6,8.00
53,Hostel Carlos Gardel,Buenos-Aires,4 fr,7.7,318,2.15
54,06 Central Hostel,Buenos-Aires,3.7,4.6,357,1.72
55,First Palermo Hotel,Buenos-Aires,2.9,0.0,3,30.00
56,Art Hostel Viracocha,Cachi,3.2,8.3,87,18.18
57,Hostel Ruta 40,Cafayate,0.6,9.3,279,1.72
58,Casa Arbol,Cafayate,0.5,5.4,314,1.44
59,D Charruas Hostel,Concordia,1.8,10.0,10,9.09
60,Selina Nueva Cordoba,Cordoba,2.6,9.3,103,13.00
61,Aldea Hostel Cordoba,Cordoba,1.3,9.5,945,1.12
62,Hostel Cordobés,Cordoba,2 fr,9.4,178,5.74
63,Hostel Joven Casa Reggae,Cordoba,0.9,8.0,69,9.33
64,Mundo Mestizo Hostel Córdoba,Cordoba,0.6,5.5,49,1.72
65,Rupestre Hostel,Cordoba,2.8,8.2,147,1.72
66,Mediterranea Hostel Cordoba,Cordoba,2.6,7.4,8,12.06
67,Link Cordoba Hostel,Cordoba,1.4,8.3,406,1.35
68,HA! Home Abroad,Cordoba,1.6,0.0,1,6.70
69,Casi Guemes Hostel,Cordoba,2.7,0.0,2,10.66
70,Morada Hostel,Cordoba,1 fr,0.0,355,1.53
71,Earthship Patagonia Eco Hostel,El-Bolson,1.3,9.5,226,1.44
72,Hostel el Mago,El-Bolson,10.3,7.7,3,8.61
73,El Pueblito EcoHostel,El-Bolson,4.7,5.1,71,2.77
74,Joy Hostel,El-Bolson,1.7,9.6,2,22.01
75,Hostel Luz Clara,El-Bolson,12 f,9.8,126,1.44
76,Pehuenia hostel y cabañas,El-Bolson,2.1,8.9,202,12.00
77,La Casona de Odile,El-Bolson,5.4,10.0,443,1.44
78,El Mirador,El-Bolson,1.9,8.4,96,1.44
79,Jardin de Rosas,El-Bolson,2.1,7.0,10,33.49
80,America del Sur Hostel,El-Calafate,3.1,9.4,3786,1.63
81,Hostel Nakel Yenu,El-Calafate,3.2,9.5,1221,2.10
82,Hostal Schilling,El-Calafate,3.6,9.7,889,2.58
83,Calafate Hostel,El-Calafate,2.4,9.0,188,3.73
84,Red House Hostel,El-Calafate,1.7,9.6,23,20.00
85,Folk Suites,El-Calafate,2.3,9.2,79,4.78
86,Folk Hostel,El-Calafate,3.5,8.9,301,4.78
87,Hostel Inn Calafate,El-Calafate,3.3,8.8,78,1500.00
88,Albergue & Hostal del Glaciar Libertador - HI,El-Calafate,3.2,0.0,775,26.62
89,Hostel Calafate Viejo,El-Calafate,2.7,7.6,93,2.39
90,Kau Kaleshen,El-Calafate,2.3,0.0,0,17.50
91,Posada Larsen,El-Calafate,3.2,10.0,38,3.59
92,Hosteria Patagonia,El-Calafate,2.7,0.0,0,14.50
93,Hostel Buenos Aires,El-Calafate,2.7,6.9,526,1.91
94,South B&B El Calafate,El-Calafate,2.9,8.0,17,25.00
95,Hosteria Meulen,El-Calafate,3.3,0.0,7,28.75
96,Rancho Grande Hostel,El-Chalten,0.2,7.5,1092,15.00
97,Aylen-Aike Hostel,El-Chalten,1 fr,9.1,1029,23.92
98,Milenarios Hostel,El-Chalten,0.8,9.8,151,19.14
99,Hospederia Thiamalu,El-Chalten,1.1,10.0,212,21.25
100,Condor de los Andes Backpackers Hostel,El-Chalten,1.1,9.7,287,15.00
101,Nothofagus B&B,El-Chalten,1.1,9.1,39,29.50
102,Hostel Los Viajeros,El-Chalten,1 fr,8.0,185,1.53
